pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_rad,st_teff,st_logg
2.1713484,2.0172196,656.8860989,5.8181633,2.16986,10249.0,4.19
1.9316462,3.166,1286.0,11.2154,2.01,7070.0,4.03
1.8675574,1.408,1500.0,23.7529,5.73,8924.0,4.33
2.74323,3.167,383.41,10.544,1.23434,5388.5,4.15
3.5730141,3.37,755.0,11.3113,2.15,9219.0,4.14
4.5505945,2.654,3731.0,7.10841,1.09,5613.0,4.33
2.5047918,4.3797563,2270.5402194,8.6950898,1.53429,6616.0,4.33
6.9989206,3.953,2840.0,14.7752,2.7,6596.0,3.71
2.0483755,2.767,483.0,3.19621,1.57,6858.5,4.2
1.9600277,2.0065257,1707.6272693,10.544,1.23434,8868.7,4.33
1.4303699,1.6165994,18960.7122944,13.1874503,0.890774,5600.0,4.48851
0.6808702,2.4634563,1507.8006889,5.9115908,1.0,9438.0,4.33
2.4704981,2.191,250.0,1.44656,0.94,5413.7,4.46
0.884182,1.621,1890.0,24.8132,2.72,8928.0,3.92
5.4255548,3.9637474,14939.6342222,10.544,1.23434,8868.7,4.33
1.4095184,0.9484999,2841.5103258,10.544,1.23434,9307.0,4.33
1.3730466,2.5708515,1301.5065338,42.1479417,6.7996101,4897.0,4.33
12.6889415,7.9201001,3232.8527885,14.0608342,1.53641,7601.0,4.31
1.10422,2.37,14177.7,21.0448,1.61,6995.2,4.07
4.95912,2.509,7440.0,22.9123,2.0,5889.0,3.86
5.2341008,3.7078139,20796.9416293,24.2931408,1.56203,7645.0,4.3
4.4119378,3.65,15062.0,15.4706,1.21,6280.0,4.32092
3.28892,3.793,10518.9,10.544,1.23434,8734.2,4.1
1.90879,1.909,618.482,3.34688,1.22,6022.6,4.52
3.09574,4.475,380.0,3.4262,1.41,6084.0,4.13
1.3214483,3.435,2180.0,21.8839,2.99,5050.8,3.56
18.0157,2.524,610.0,21.644,7.61,4709.0,4.33
9.6837921,2.4006056,4238.2399008,10.544,1.23434,8598.7,4.33
14.2628757,6.9350494,913.2067174,2.4765813,0.853898,5690.0,4.58
3.2834565,1.537,1558.0,2.87648,0.68,4272.0,4.6
11.02875,2.715,1694.0,2.76586,0.68,4272.0,4.6
5.0113292,1.024,1210.0,2.52314,0.68,4272.0,4.6
1.01606,2.843,240.0,1.20704,0.68,4634.0,4.64
36.22214,5.107,7170.0,10.544,1.23434,5800.55,4.33
3.547854,3.494333,10424.3718,14.581841,1.4,6351.0,4.22896
12.1246519,4.612,7279.0,17.6729,1.07,4807.6,4.17
5.652623,3.434,1250.0,8.94354,1.92,6415.4,3.98
5.6643704,3.8087395,3491.8232968,14.7738943,2.3383701,10395.0,4.13
29.0160175,5.345,1389.0,6.77406,2.01,6113.1,4.33
3.6404389,2.5339234,476.3077321,3.7025342,1.60776,9810.0,4.43
6.0744477,2.4954821,5982.5212406,30.9493217,2.4303801,5964.0,3.7
3.7795212,2.952,2761.0,5.98375,1.18,5771.0,4.31
1.2025238,1.991,390.0,6.31106,1.74,9158.0,4.32
3.2235985,2.159,680.0,5.51341,2.17,8904.0,4.09
4.420125,3.956,2466.0,10.544,1.23434,5800.55,4.33
4.0872956,5.586113,3572.1712499,13.6237732,2.2186699,6036.0,3.93359
2.55555,1.566,340.0,11.5901,6.04,10037.0,4.33
8.30792,3.228,8350.0,43.1068,3.05,9081.0,3.83
0.758082,1.8184632,583.93181,10.1273702,3.5086601,9917.0,3.75
1.4415577,2.349,507.0,3.61078,1.52,6902.0,4.25
1.0085089,1.642,3051.0,10.544,1.23434,5215.2,4.33
3.7039994,4.277,7590.0,17.57,1.9,7013.8,4.21
1.3042553,1.706,914.0,9.36472,1.75,6762.0,4.11
0.62627,0.666,1880.0,5.72162,0.93,5622.0,4.5
0.30412,0.748,1330.0,10.417,2.52,11892.0,4.14
2.1805277,2.969175,16340.1353205,16.808853,1.2714601,6599.0,4.21017
2.1846669,2.86528,11708.0228549,13.7028527,1.23824,5630.0,4.37759
3.7354838,4.142,17030.0,21.2315,1.57,6650.0,4.1639
21.701669,8.2676424,211.6567325,2.3751494,1.56486,5625.0,4.438
9.139804,3.0912936,358.4157801,3.0629855,1.58,5958.2,4.34
5.742625,2.860293,1105.760867,13.088532,3.86959,5664.0,3.26574
15.5077855,4.565,513.0,2.43432,1.17,6122.0,4.30881
17.4713078,4.4284819,1199.7541483,3.5766828,0.974669,5783.54,4.49925
5.3079507,3.2158594,391.3830934,3.0486928,1.36963,6124.3,4.38
51.1701501,6.6641048,851.4547808,2.9366826,0.943356,5599.0,4.46138
11.1296441,7.0473822,951.6169809,12.8402271,3.4475601,5785.0,4.344
9.4496506,2.021,19750.0,17.0216,0.94,5509.0,4.39758
2.8493825,3.567,8049.0,16.3869,1.77,6900.0,4.438
2.0685633,0.373,502.0,3.89739,1.14,5687.9,4.6
0.540933,1.674337,257.347459,2.28501,1.21935,5525.0,4.25342
4.1150576,1.08,487.0,2.30057,0.89,5394.0,4.50942
10.0665238,2.4023189,839.9044871,2.7272824,0.791742,5552.0,4.61783
6.4438657,1.9309449,1121.9512275,2.460344,0.737189,4803.0,4.52079
12.2265595,2.1904379,1206.3693293,2.6014766,0.737189,4803.0,4.52079
2.160344,1.828854,19357.992992,22.503541,1.2,5780.0,4.32928
4.606184,3.121643,13793.034867,12.962219,1.07,5670.0,4.3925
3.1316735,2.4579197,14915.6943722,9.4995191,0.76701,4351.0,4.438
3.180362,2.111521,21192.463324,13.446487,0.92,5498.0,4.47934
2.9776446,2.962,13022.0,14.4339,1.22,5703.0,4.25824
3.9502008,4.444,13914.0,20.5357,1.71,6153.0,4.18077
2.9776152,3.25697,43218.111683,26.88423,1.28,5740.0,4.29219
3.5544026,2.0550535,10164.8753396,13.200677,1.11499,5639.0,4.37172
12.8379689,9.8464123,10539.0192794,25.4886382,2.4494,5765.0,4.34773
3.9228016,1.8736007,31510.9004906,13.3368705,0.6983,4444.0,4.438
13.9428705,3.7522756,1015.395543,2.4233421,0.741671,5206.0,4.63095
0.6047392,1.0403847,1027.6833479,1.8625587,0.580337,4046.0,4.60963
2.5495611,2.6173308,14921.4021936,12.9171288,1.03997,5659.0,4.44653
1.6062693,1.9561305,16725.3019333,12.6436029,0.984326,5192.0,4.4617
0.5182425,0.8565249,831.8920424,1.3485121,0.390989,3325.0,4.88693
3.1644075,2.0576293,5603.4635466,14.8814743,1.7234,6519.0,4.22068
3.0440541,2.5984575,22236.0165376,12.1086799,0.809868,5523.0,4.52192
3.9652485,1.0112593,3680.7544436,1.2305102,0.199988,3296.0,4.96636
2.98278,3.109528,6136.231662,11.467011,1.23975,6027.0,4.29978
16.3469053,3.5865698,2212.4257252,3.5059571,0.649613,4310.0,4.57345
12.9802953,2.5034417,2407.2608671,2.4241912,0.491323,3614.0,4.81257
1.3484961,2.4074261,18463.7636682,15.8824638,1.14759,6346.0,4.38484
3.2541181,4.341,13620.0,14.9476,1.28,6102.0,4.28649
3.7178828,5.5277827,4864.8405125,14.6986197,2.0840001,5818.0,4.33787
9.30992,3.464,2220.0,14.2968,3.09,6907.0,3.63
1.15395,2.236,1550.0,5.48364,1.4,6093.0,4.2
4.73703,3.902,2410.0,25.7144,2.48,11600.0,4.13
2.76676,2.6872178,14947.4387827,12.2867389,0.984866,5346.0,4.48823
2.19296,4.586,4933.74,22.7769,2.95,7009.8,3.6
1.725841,3.674,2710.0,15.0024,2.39,7348.0,3.9
1.1923,3.119,3730.0,30.666,2.04,6534.0,3.95
11.47606,6.083,3050.0,10.544,1.23434,5800.55,4.33
0.5971314,0.468,910.0,9.08382,2.28,7710.0,3.98
1.4821386,2.1867078,2102.6568299,13.7339261,2.6647301,7066.0,3.78
0.9209526,1.8602735,360.8801529,5.7349089,2.8908899,6553.0,3.65
9.188506,2.492,460.0,2.16591,0.98,5876.0,4.48
13.9028391,2.1264429,647.2701039,2.6136848,0.983215,5876.0,4.48
10.1826983,2.8275109,667.4752458,3.0538057,1.14582,6153.0,4.34814
6.441006,1.812,914.0,2.56374,0.8,4867.0,4.438
3.1743504,2.751086,15457.3247576,14.9172256,1.15706,5943.0,4.42524
20.0731588,3.8449215,1152.9645461,4.0506906,1.14849,6033.0,4.37
2.66903,1.548,3110.0,9.36823,1.56,5803.5,4.07
6.63371,2.122,1555.34,2.75375,0.63,4138.1,4.54
2.94308,4.073,4490.0,45.3525,3.13,4437.0,4.33
341.2811281,6.303026,972.5797241,4.7531892,1.39203,6058.6,4.2
10.8680523,2.375,1553.0,2.90726,0.76,4664.0,4.55
11.1149,2.26,900.0,14.7645,4.94,5042.0,4.33
4.0782392,4.8475616,6046.6959687,13.898174,1.74836,6501.0,4.08
7.14386,1.467,11146.4,22.1531,1.91,7860.0,4.15
7.04083,2.979,1580.0,8.46404,0.91,5317.0,4.49
2.1061569,1.4688934,12142.2238514,13.086872,0.940697,5380.0,4.4337
2.4545635,2.321,4248.0,11.1276,1.64,6610.0,4.15
11.4756978,0.808,8341.0,14.1098,2.13,7262.0,4.0
2.78186,2.456,490.0,4.92567,2.21,6819.0,3.92
6.4410082,1.798,7076.0,4.59203,0.53,3469.0,4.71
2.4887726,2.632,4852.0,10.544,1.23434,8048.0,4.438
4.45199,2.109,8483.38,15.8858,1.57,6708.3,4.2
