star_id,orbital_period,transit_duration,transit_depth,planet_radius,star_radius,star_temp,star_logg,label
TIC 26123781,41.688644,,,2.35545351,0.956122,5703.0,4.38,1
TIC 26123781,41.6855,,,2.23,0.928,5766.0,4.5,1
TIC 26123781,41.6855,,0.049,2.57807,1.08,5766.0,4.5,1
TIC 176942156,2.30183,,2.268,1.12,0.762602,4616.52,4.53679,1
TIC 176942156,2.302368,,,1.31258765,0.710995,4720.0,4.5,1
TIC 380166702,1.1947488,,0.448,4.19,0.57,3919.0,,1
TIC 96244568,6.178369,,,9.91257877,0.789478,5015.0,4.67,1
TIC 96244568,6.17887,,1.303,8.84,0.849432,4719.28,4.45833,1
TIC 49427200,1.17589,,0.0686,0.86,0.309,,,1
TIC 173145687,10.6966,,0.0557,1.45,0.588,,,1
TIC 49504409,1.5374115,,1.4564,45.0,1.599,,,1
TIC 56754094,2.71189,,0.02,4.34,3.16745,6402.0,3.54386,1
TIC 96199085,18.10549,,,2.09985108,1.224685,6213.0,4.32,1
TIC 38116202,6.7987,,,1.047,0.282,3648.0,4.999,1
TIC 443616789,79.9999,,,10.2,0.508,4542.0,4.747,1
TIC 443616789,,,3.06,30.0,0.707,,,1
TIC 349458175,17.77297,,3.662,26.44,1.25428,5847.0,4.26659,1
TIC 173109451,0.99656225,,35.5,32.8,0.5,3727.0,,1
TIC 62965118,14.912381,,0.252,3.55,0.65,4224.0,,1
TIC 62965118,14.9139,,0.24,3.24,0.647,,,1
TIC 49429059,0.57303573,,0.51,3.35,0.43,3570.0,,1
TIC 35019000,28.1656,,,1.87,,,,1
TIC 35019000,28.1696,,0.316,2.2,0.374,,,1
TIC 35019000,7.90417,,0.268,2.06,0.374,,,1
TIC 35019000,7.9069606,,0.28,3.02,0.52,3772.0,,1
TIC 173163938,1.0829614,,0.0655,1.56,0.56,3875.0,,1
TIC 173147407,0.905655,,0.0678,1.57,0.576,,,1
TIC 173147407,0.90552205,,0.0791,1.52,0.5,3710.0,,1
TIC 78312435,2.7541129,,0.671,4.87,0.55,3834.0,,1
TIC 78312435,2.75421,,0.746,8.4,0.89,,,1
TIC 78312435,2.75391,,,3.78,0.436,3918.0,4.846,1
TIC 446672940,50.285869,,0.184,3.47,0.74,4859.0,,0
TIC 446672940,50.27762,,,209.52,10.96,5141.0,,0
TIC 421194234,10.50439,,0.0402,1.75,0.878,,,1
TIC 38132622,1.684208,,1.476,5.51,0.431,,,1
TIC 38086751,0.2122013,,0.0725,0.519,0.188,,,1
TIC 38086751,0.21219899,,0.0662,1.05,0.37,3468.0,,1
TIC 38086751,0.212194,,,0.77,0.26,3299.0,5.106,1
TIC 38116677,1.5778643,,0.891,7.55,0.73,4811.0,,1
TIC 38116677,1.57771549,,1.823,,1.15585,5163.0,4.25178,1
TIC 38116680,1.57771549,,0.875,,2.56752,7333.0,3.83915,1
TIC 56813470,13.0113,,0.065,2.43,0.880221,5347.0,4.51267,1
TIC 421192026,40.70206194,,0.536,,0.572892,3759.0,4.67427,1
TIC 56760106,21.204739,,,9.11013939,1.761722,5154.0,3.91,1
TIC 38161230,2.519334,,,3.91,1.45,6283.0,4.17,0
TIC 38161230,2.5194039,,0.1935,7.65729,1.76,6380.0,,0
TIC 38161230,2.519386,,0.2036,19.6,2.03,,,0
TIC 38161230,2.51881781,,0.215,,1.76277,6380.0,,0
TIC 38161230,2.5194078,,0.181,7.99,1.72,7119.0,,0
TIC 349456881,13.383629,,,2.87289326,0.815235,5216.0,4.7,1
TIC 349456881,13.38382,,0.12,2.7,0.65973,5113.71,4.73383,1
TIC 147677251,11.8951,,,,0.68,5040.0,,1
TIC 173164319,40.1401,,1.896,20.8,0.716,,,1
TIC 443612346,7.4433,,0.116,2.73,0.724,,,1
TIC 66664366,2.638,,0.11,2.91,,4264.47,,1
TIC 56812600,27.47083,,0.15,3.36,0.749863,4947.03,4.59659,1
TIC 49428482,2.8268121,,14.1,40.1,0.98,5736.0,,1
TIC 66664249,0.72091,,,1.5,0.94,5633.0,4.4,1
TIC 49417963,4.44044,,0.01414,1.32,1.053,,,1
TIC 49417963,4.4416421,,0.0143,1.17,0.9,5547.0,,1
TIC 49417963,4.441258,,,1.12422498,0.833852,5450.0,4.54,1
TIC 38140238,11.20381,,0.0354,2.18,1.1,,,1
TIC 147684088,8.006875,,,2.384,0.846,5403.0,4.538,1
TIC 425281171,3.3643115,,35.2,85.6,1.32,6240.0,,1
TIC 301610040,2.13174,,,0.692,,,,1
TIC 301610040,13.837814,,0.0663,1.96,0.7,4535.0,,1
TIC 301610040,13.8394,,0.0487,1.29,0.554,,,1
TIC 301610040,7.79983,,0.0561,1.37,0.554,,,1
TIC 301610040,7.7991586,,0.0423,1.57,0.7,4535.0,,1
TIC 301610040,3.883,,0.0322,1.06,0.554,,,1
TIC 380543172,2.3330982,,0.993,5.48,0.5,3726.0,,1
TIC 380543172,2.33293,,,3.2,0.224,3508.0,5.062,1
TIC 380543172,2.333123,,1.27,2.95,0.224,,,1
TIC 363546314,20.2073,,0.0735,2.12,0.7624,,,1
TIC 380576148,36.7099,,,,5.33871,5069.12,,1
TIC 380576148,36.762337,,0.177,3.44,0.75,4932.0,,1
TIC 281782214,19.565799,,,6.412,0.854,4486.0,4.652,1
TIC 363618134,6.39916,,0.0401,1.48,0.7006,,,1
TIC 363618134,6.3991398,,0.0449,1.85,0.8,5210.0,,1
TIC 363550117,2.72273204,,1.494,,2.85976,8002.0,3.81097,1
TIC 281731331,15.695142,,,2.028,0.625,4270.0,4.719,1
TIC 396951334,2.48038,,0.0116,1.44,1.27,,,1
TIC 301610642,1.9668579,,0.0322,1.51,0.77,5063.0,,1
TIC 301610642,1.96712,,0.0361,1.73,0.826,,,1
TIC 397013318,,,,,0.52,4419.0,,0
TIC 366682587,12.726743,,0.0579,1.91,0.73,4767.0,,1
TIC 325315497,13.2359,,0.0469,2.09,0.924,,,1
TIC 902906874,0.18746328,,1.32,217.0,17.27,46696.0,,1
TIC 325275220,8.6382631,,2.43,8.53,0.5,3720.0,,1
TIC 325275220,8.63829,,,6.81,0.438,3960.0,4.844,1
TIC 325275220,8.6381,,,15.99,0.5,3987.0,,1
TIC 325275220,8.63795,,2.738,15.1,0.438,,,1
TIC 301558541,5.7968861,,9.43,24.2,0.72,4721.0,,0
TIC 301558541,5.79687,,,27.81,0.79,5192.0,,0
TIC 396999673,0.4775252,,1.5255,20.1,0.522,,,1
TIC 366661089,22.197992,,1.52,5.34,0.4,3508.0,,1
TIC 366661089,44.394,,1.517,4.07,0.318,,,1
TIC 363531159,3.29163,,0.0394,1.17,0.567,,,1
TIC 363531159,3.2908998,,0.0406,1.57,0.72,4671.0,,1
TIC 397052808,0.877214,,,1.3,0.93,5820.0,4.6,1
TIC 397052808,0.87724,,,1.565,0.98,5679.0,4.435,1
TIC 397052808,0.87703,,0.025,1.2,0.990833,5711.17,4.45381,1
TIC 397052808,0.877183,,,1.40575209,0.932487,5705.0,4.48,1
TIC 363516247,2.8964139,,0.289,2.45,0.42,3547.0,,1
TIC 363516247,2.89607106,,0.383,,0.524138,3565.0,4.71635,1
TIC 363516247,2.896528,,0.3274,1.45,0.242,,,1
TIC 363480617,0.44433632,,0.0134,1.01,0.8,5208.0,,1
TIC 363480617,0.444372,,,1.22,0.82,5540.0,4.81,1
TIC 377171980,3.80464,,,1.22,,,,1
TIC 337748956,7.28161,,,1.78,0.49,3742.0,,1
TIC 337748956,7.28116,,,1.79,0.541438,3726.0,4.70134,1
TIC 337748956,7.28076,,0.1293,2.6,0.399,,,1
TIC 337748956,7.28138,,,17.0,0.399,3784.0,4.883,1
TIC 337748956,7.28131,,0.116,1.9,0.51,3748.0,,1
TIC 301560825,4.58328,,0.152,2.21,0.545,,,1
TIC 301560825,1.65336,,0.0686,1.51,0.545,,,1
TIC 363445389,5.28081,,,10.9,3.01,6227.0,3.676,1
TIC 363445389,5.28130579,,0.074,,2.66957,6161.41,3.65337,1
TIC 380544493,440.0,,,16.3,0.85,4600.0,,1
TIC 363478545,30.0,,,22.8,0.89,3400.0,,1
TIC 363478545,,,3.177,24.9,0.6009,,,1
TIC 301468055,7.655533,,,2.328,0.751,5114.0,4.687,1
TIC 325315305,27.770388,,10.6,25.1,0.71,4598.0,,0
TIC 325315305,27.77045,,,32.79,8.15,5086.0,,0
TIC 363571922,0.259669,,,0.77,0.69,4340.0,4.25,1
TIC 363571922,0.25967056,,0.0132,0.742,0.59,3982.0,,1
TIC 363571922,5.54583,,0.0152,0.441,0.34,,,1
TIC 363548738,18.4502,,0.085,2.52,0.717,,,1
TIC 301540319,35.621,,0.045,1.89,0.898,5440.0,4.512,1
TIC 325314405,4.1333,,0.112,1.2,0.312,,,1
TIC 301624989,1.9611469,,0.727,5.93,0.64,4166.0,,1
TIC 301624989,1.96133691104,,0.92350385,15.86577929,1.06738,4427.0,4.22028,1
TIC 281888055,40.7302,,,7.8,0.98,5840.0,4.44,1
TIC 281888055,40.7362,,,7.28,0.85,5618.0,,1
TIC 363573780,18.10220826,,0.78,,2.04778,6141.1,3.88145,1
TIC 397024870,0.60408352,,0.0963,2.26,0.67,4331.0,,1
TIC 380545567,3.52743,,,1.11,0.257,3624.0,5.014,1
TIC 380545567,3.52725,,0.199,1.21,0.257,,,1
TIC 380545567,3.52674,,,1.32,0.350987,3413.0,4.87298,1
TIC 380545567,3.5269024,,0.167,2.98,0.67,4332.0,,1
TIC 376757872,6340.0,,,12.8,0.88,4800.0,,1
TIC 903094635,9.321691,,,17.325,0.678,5089.0,4.712,1
TIC 301605847,6.662,,0.0946,1.59,0.483,,,1
TIC 281886199,2.71578,,,1.03,,,,1
TIC 380546118,2.0478,,,0.90819,0.655,4520.0,4.659,1
TIC 425280270,,,1.3972,35.0,1.266,,,1
TIC 425284468,27.27048734,,3.413,,2.564,5990.87,3.66162,0
TIC 425284468,27.242808,,3.7137,93.0,2.54,,,0
TIC 425284468,27.24273,,,31.73,0.92,6166.0,,0
TIC 425284468,27.242912,,3.7,18.8,0.9,5547.0,,0
TIC 363515702,1.395336,,0.0665,0.76,0.28,,,1
TIC 363515702,1.39533316,,0.054,,0.424658,3433.0,4.80422,1
TIC 363515702,1.3951513,,0.0616,0.879,0.32,3390.0,,1
TIC 380547741,15.3791,,0.256,1.89,0.336,,,1
TIC 281910149,33.5107,,,2.14,0.896,5683.0,4.5,1
TIC 281910149,33.51569,,,3.83,0.71,5552.0,,1
TIC 281910149,33.5116,,0.0732,2.89,0.875,,,1
TIC 281910149,33.513607,,,2.47313225,0.857642,5628.0,4.57,1
TIC 281910149,33.515399,,0.0822,2.03,0.65,4222.0,,1
TIC 363444743,3.96151,,,1.0,,,,1
TIC 363444743,3.96165,,0.0485,1.48,0.634,,,1
TIC 301604245,6.97251,,0.0916,2.01,0.6252,,,1
TIC 380583651,4.1698,,,1.04,0.628461,5053.0,4.595,1
TIC 380583651,4.16959,,,1.1,,,,1
TIC 380583651,4.16888,,0.0447,1.41,0.628,,,1
TIC 380583651,12.3389,,0.1021,2.11,0.628,,,1
TIC 380583651,12.339133,,0.107,2.59,0.73,4751.0,,1
TIC 350475295,2.89465,,0.0551,1.75,0.702,,,1
TIC 291074740,3.83794,,0.0315,1.51,0.809,,,1
TIC 291074740,5.24086,,0.0292,1.46,0.809,,,1
TIC 396915707,2790.0,,,12.2,0.93,5100.0,,1
TIC 396947594,8.91058,,0.0592,2.8,1.028,,,1
TIC 388897619,28.2692,,,3.35,1.29,5631.0,4.2,1
TIC 388897619,28.270642,,0.0813,2.79,0.9,5545.0,,1
TIC 388897619,28.2671,,0.0757,2.94,1.028,,,1
TIC 388897619,28.271761,,,2.7100633,0.933556,5548.0,4.42,1
TIC 388897619,28.2717,,,,1.02594,5564.0,4.40705,1
TIC 388897619,4.73172,,0.0245,1.7,1.028,,,1
TIC 388915104,0.782022,,0.0267,1.58,0.94,,,1
TIC 388915104,0.78214992,,0.0226,1.29,0.79,5144.0,,1
TIC 388769008,15.4769,,0.173,2.89,0.66,,,1
TIC 396915596,6.4498648,,0.0814,2.63,0.85,5395.0,,1
TIC 396915596,6.45027,,0.0606,2.29,0.894,,,1
TIC 396915593,1.19478,,,1.65,0.235,3671.0,5.053,0
TIC 388913291,,,,,0.7,4786.0,,0
TIC 55072605,1.5771832,,2.49,33.4,1.94,8210.0,,0
TIC 55072605,1.57753,,,26.0,1.93,7747.0,4.08,0
TIC 45545629,3.262038,,2.4289,,5.27397,10318.0,,1
TIC 438102256,4.4654,,1.59,45.0,2.3,,,1
TIC 44883470,21.140574,,5.01,31.5,1.29,6205.0,,1
TIC 83377800,5.74372,,0.7985,,,,,1
TIC 83795004,3.2923818,,0.924,19.6,1.87,7824.0,,1
TIC 58731207,6.90487,,,53.0,1.45,6599.0,4.241,1
TIC 58731207,6.905053,,2.5067,,,,,1
TIC 58731207,6.9055211,,2.65,33.6,1.89,6722.0,,1
TIC 387716346,1.696374,,3.779,35.3,1.793,,,1
TIC 83709114,3.046136,,3.778,76.0,1.698,,,1
TIC 83709114,3.0459383,,3.82,19.0,0.89,5529.0,,1
TIC 83709114,3.04622,,,29.0,0.89,5529.0,4.5,1
TIC 195129145,3.23792,,0.0431,,0.639668,4500.0,4.67558,1
TIC 195129145,3.238542,,0.0499,1.67,0.69,4446.0,,1
TIC 195129145,3.2367,,,1.58,0.74,4863.0,4.597,1
TIC 386624472,6.2719092,,9.29,60.0,1.81,7254.0,,1
TIC 306689250,23.7782,,,98.0,2.09,7498.0,4.03,0
TIC 84453551,1.42636,,0.03016,6.66,4.28,,,1
TIC 55234285,3.979287,,3.5,37.5,1.84,7430.0,,1
TIC 84546771,2.1417519,,24.8,86.2,1.59,6492.0,,1
TIC 58779100,2.86136,,0.1169,,0.50129,3697.0,4.73628,1
TIC 284490115,3.10622,,0.195,,0.501135,3636.0,4.73641,1
TIC 55265307,1.814553,,1.289,,10.0566,4618.0,,1
TIC 82928381,17.1541,,1.948,,16.1325,4930.0,,1
TIC 58780846,12.1507,,0.029,1.48,0.83,,,1
TIC 83375909,2.4343734,,38.7,61.4,0.9,5568.0,,1
TIC 438338723,1.8490876,,2.74,17.3,0.96,5693.0,,1
TIC 438071843,2.620724,,0.889,11.7,1.14,6013.0,,1
TIC 438071843,2.620799,,0.941,37.0,1.725,,,1
TIC 438071843,2.62077,,,58.0,1.4,6302.0,4.23,1
TIC 385594855,1.314437,,,3.09990986,1.472064,6009.0,4.09,1
TIC 385594855,1.3144014,,0.0426,2.78,1.23,6137.0,,1
TIC 84442448,4.8045244,,0.0678,3.62,1.28,6187.0,,1
TIC 79517411,6.14818,,0.1513,,2.29043,6591.31,,1
TIC 308490355,1.49761,,0.02228,,,,,1
TIC 385667471,6.479656,,,3.33165021,0.921539,5586.0,4.5,1
TIC 385667471,6.48167,,0.1249,3.46,0.922,,,1
TIC 385667471,6.4804111,,0.121,3.39,0.89,5537.0,,1
TIC 87474573,2.8445331,,26.5,65.3,1.16,6045.0,,1
TIC 367191694,0.6687,,0.01196,2.22,1.942,,,1
TIC 337079474,13.3461,,0.5465,42.0,2.575,,,1
TIC 307016006,4.13737,,1.049,24.5,1.03,,,1
TIC 307016006,4.1376047,,0.911,7.33,0.7,4581.0,,1
TIC 430049349,2.469851,,0.1234,6.6,1.479,,,1
TIC 284570702,0.690458,,0.6655,,1.50882,6912.12,,1
TIC 284570702,0.689647,,,6.58,1.08,6481.0,4.0,1
TIC 445959194,4.1687922,,1.69,16.1,1.14,6005.0,,1
TIC 58946313,21.17051,,1.5771,81.0,2.536,,,1
TIC 84599716,5.31937553733,,0.6537084,19.66846395,2.36934,6350.0,3.78918,1
TIC 84599716,5.319075,,0.7124,20.0,2.28,,,1
TIC 87270008,12.86772,,,71.0,1.79,6861.0,4.11,0
TIC 87270008,12.866412,,3.1311,61.0,1.642,,,0
TIC 87270008,12.866539,,3.01,22.3,1.18,6066.0,,0
TIC 86543926,1.8461222,,0.965,19.5,1.82,7536.0,,0
TIC 86543926,1.84617,,,2.14,0.21,3252.0,5.08,0
TIC 45179675,6.6223,,0.348,,5.54598,5000.0,,1
TIC 81729236,0.5217136,,1.4286,452.0,11.27,,,1
TIC 323020176,11.975818,,7.83,8.43,0.28,3320.0,,1
TIC 323020176,11.97495,,,256.0,3.4,5200.0,3.32,1
TIC 204818444,5.9895,,0.0354,2.04,1.03,,,1
TIC 68161800,28.707623,,3.57,21.2,1.03,5838.0,,1
TIC 68694240,15.4715,,,9.2,1.89,5791.0,4.005,1
TIC 68694240,15.465691,,0.249,4.13,0.76,4989.0,,1
TIC 68694240,15.466674,,,16.12109089,1.231429,5807.0,4.25,1
TIC 98181869,1.4556637,,2.958,,1.84406,6520.0,4.03395,1
TIC 98181869,1.45556515,,2.7008,71.0,2.043,,,1
TIC 98044395,3.3262396,,0.101,1.16,0.33,3404.0,,1
TIC 98044395,3.32592848,,0.091,,60.6949,4017.0,,1
TIC 98044395,3.3255,,0.1179,1080.0,85.0,,,1
TIC 205337031,13.1426,,0.529,200.0,13.9,,,1
TIC 205336474,4.474513,,,8.16881084,2.221057,6081.0,3.88,1
TIC 205336474,4.4743465,,0.12,3.06,0.81,5248.0,,1
TIC 205336474,4.47471,,0.173,22.0,2.486,,,1
TIC 392037308,2.1989041,,32.4,46.6,0.75,4938.0,,1
TIC 399151893,4.1657292,,0.227,1.86,0.36,3442.0,,1
TIC 68406313,0.6308,,5.52,,,,,0
TIC 323013113,0.2358684,,0.0754,6.1,1.792,,,1
TIC 98468044,12.99109,,0.602,43.0,4.5,,,1
TIC 206005802,1.7359447,,0.043,1.89,0.84,5354.0,,1
TIC 68645284,1.8389349,,0.0177,0.837,0.58,3930.0,,1
TIC 68645284,1.83916,,0.01515,0.62,0.48,,,1
TIC 175749098,2.032664,,0.1159,1.92,0.535,,,1
TIC 175749098,6.11706,,0.0976,1.76,0.535,,,1
TIC 66751054,1.859017,,,64.0,2.03,6842.0,4.01,1
TIC 66751054,1.85872487,,4.143,,2.01889,6015.0,3.87316,1
TIC 66751054,1.8590179,,4.44,30.5,1.33,6244.0,,1
TIC 67235717,540.0,,,5.7,0.94,5200.0,,1
TIC 67235717,,,0.3511,12.81,1.947,,,1
TIC 98690271,1.4408,,1.64,,1.58859,4154.0,,0
TIC 98170399,0.841202,,,82.0,2.31,6237.0,3.85,0
TIC 98094704,0.8411257,,0.015,0.884,0.66,4289.0,,1
TIC 98088236,0.17566,,,3.11,1.15,6620.0,4.19,1
TIC 67086160,29.33873041,,1.277,,0.528528,3171.0,4.71253,1
TIC 392396566,22.7984,,,9.0,1.37,6195.0,4.18,0
TIC 15288043,1.68027,,0.0262,2.9,1.275,,,1
TIC 191091959,2.54427583,,0.012,,3.23826,8188.0,3.71913,1
TIC 77574118,0.7099504,,1.6512,80.0,2.065,,,1
TIC 68131578,1.8204,,0.5,,0.5139,3112.0,4.72526,0
TIC 98093602,2.809,,4.73,,0.474383,2901.0,4.75991,0
TIC 98093602,1.404411,,,99.0,2.02,6933.0,4.02,0
TIC 98093602,1.4044283,,7.26,3.66,0.12,2721.0,,0
TIC 15197395,3.400858,,0.3404,14.1,0.983,,,1
TIC 15197395,3.4007758,,0.331,5.57,0.89,5520.0,,1
TIC 68048686,,,0.3145,7.51,1.249,,,1
TIC 15976646,,,0.5701,,,3095.0,,1
TIC 175744910,8.2781,,0.26,,,6520.0,,0
TIC 175744910,8.2758,,,10.2,1.6,5926.0,4.16,0
TIC 175744910,8.2766395,,0.371,0.724,0.11,2586.0,,0
TIC 68045555,0.6199,,2.52,,0.596423,2978.0,4.65423,0
TIC 15657357,28.46762,,3.1445,37.0,1.97,,,1
TIC 15657357,28.465633,,3.09,18.4,0.96,5700.0,,1
TIC 98231712,4.5417,,7.19,,0.641751,2897.0,4.61636,0
TIC 98233820,83830.0,,,12.0,0.74,4000.0,,1
TIC 15283600,8.79689,,0.0527,4.85,2.047,,,1
TIC 191148579,1.153886,,,99.0,1.8,6841.0,4.09,1
TIC 68640538,1.6398934,,14.6,33.0,0.79,5175.0,,1
TIC 191097398,1.486243,,,58.0,1.87,5991.0,3.984,0
TIC 49072130,23.210585,,0.419,5.7,0.81,5244.0,,1
TIC 49072130,23.21037,,0.4533,15.3,1.207,,,1
TIC 437589199,1.330023,,0.2836,44.0,2.4,,,1
TIC 48967368,50.73641,,0.3938,10.31,1.349,,,1
TIC 49585759,1.124,,0.62,,0.50547,3074.0,4.73262,0
TIC 203822414,0.7474,,0.17,,,,,0
TIC 12566211,46.1373,,0.1137,2.6,0.723,,,1
TIC 73125748,1.957,,0.01,,45.3731,3913.0,,1
TIC 205111658,22.6398,,0.02,1.27,0.862,,,1
TIC 287548906,24.193613,,10.6,30.7,0.87,5457.0,,1
TIC 204378237,2.784496,,0.585,2.09,0.256,,,1
TIC 50064226,0.64292573,,2.46,,0.362033,2914.0,4.86227,1
TIC 12779416,1.4562,,1.65,,,,,0
TIC 9676822,2.8742,,0.73,,1.41662,3648.0,,0
TIC 9795183,10.2236,,,132.0,2.04,6960.0,4.05,1
TIC 48796694,1.6281,,1.49,,2.74444,5691.0,3.56677,0
TIC 72999657,2.7518,,0.00992,0.669,0.647,,,1
TIC 12629920,,,0.9753,133.0,8.12,,,1
TIC 204750233,23.277669,,19.8,32.8,0.68,4379.0,,1
TIC 9794694,24.6842,,0.0408,2.49,1.17,,,1
TIC 13310825,2.2,,,8.4,0.87,4800.0,,1
TIC 49915084,2.6454165,,1.2,9.47,0.79,5179.0,,1
TIC 49915084,2.64594828,,1.124,,1.98054,6634.0,3.98751,1
TIC 49508641,20.98296043,,0.338,,0.739921,4822.0,4.59235,1
TIC 203063594,1.5271792,,0.192,,0.899453,5359.0,4.49859,1
TIC 220604190,7.8392,,0.0158,1.46,1.115,,,1
TIC 280160125,9.2048,,14.79,,3.61562,11886.0,3.82208,0
TIC 12662204,2.32046168,,0.538,,,,,1
TIC 12662204,2.320937,,0.3298,15.7,1.157,,,1
TIC 9675067,1.94297,,,2.571,0.436,3197.0,4.846,1
TIC 162473307,1.3178719,,1.978,62.0,1.975,,,0
TIC 162473307,1.3179,,,55.0,1.07,5876.0,4.39,0
TIC 9669622,0.2338108,,1.26,,,,,1
